startdate,titre,link,article,journal
01/01/1989,1989_nasatechnicalreport.png,https://archive.org/details/NASA_NTRS_Archive_19900014594/page/n3,nasa technical reports,nasa technical reports server
01/01/1993,1993_aworldofdata_business.png,https://archive.org/details/03Kahle001650/page/n11,a world of data,Business
01/01/1994,1994_akeytothesuccess_viewpoint.png,https://archive.org/details/TheRoleOfGovernmentInTheEvolutionOfTheInternet/page/n1,a key for the success,viewpoint
01/03/1994,1994_presidentclinton_thenewyorktime.png,https://archive.org/details/03Kahle001650/page/n9,president Clinton,the New York Times
01/05/1994,1994_theroleof_viewpoint.png,https://archive.org/details/TheRoleOfGovernmentInTheEvolutionOfTheInternet,the role of,viewpoint
01/07/1994,1994_usinginternet_howtouseinternet.png,https://archive.org/details/how-to-use-the-internet-mark-butler-zd-press-1994/page/n21,using the internet,how to use the internet
01/08/1994,1994_virtualreality_Lasvegasreviewjournal.png,https://archive.org/details/03Kahle001650/page/n7,virtual reality,Lasvegasreviewjournal
01/10/1994,1994_what is the internet_howtousetheinternet.png,https://archive.org/details/how-to-use-the-internet-mark-butler-zd-press-1994/page/n21,what is the internet,how to use the internet
01/02/1995,1995_hisdream_thenewyorktimes.png,https://archive.org/details/03Kahle001650/page/n3,his dream,the New York Times
01/06/1995,1995_www_internetmadeeasy.png,https://archive.org/details/internetmadeeasy00slum/page/50,www,internet made easy
01/01/1997,1997_121Internetbusinessesyoucanstartfromhome.png,https://archive.org/details/121internetbusin00giel?q=internet,121 Internet businesses you can start,121 internet businesses you can start
01/09/2000,2000_everywhere_internet.png,https://archive.org/details/internet00vand/page/n7,everywhere,internet
01/12/2000,2000_introduction_thehistoryhighway.png,https://archive.org/details/historyhighway2000trin/page/n15,introduction,the history highway 2000
01/01/2001,2001_network_computernetwork.png,https://archive.org/details/computerworld3527unse19/page/n9?q=internet+beginning,network,computerworld
01/02/2001,2001_newkindofmobiledevice_thewallstreetjournal.png,https://archive.org/details/press00unse_6/page/n7,new kind of mobile device,The Wall Street journal
01/03/2001,2001_searchingtheweb_pressguidebooktointernet.png,https://archive.org/details/associatedpressg00bass/page/6,searching the web,press guide book to internet
01/04/2001,2001_startofsomethingbig_thecatalogueofbusiness.png,https://archive.org/details/computerworld3527unse19/page/n7?q=internet+beginning,start of something big,the catalogue of business
01/07/2001,2004_archivingeverything_mercurynews.png,https://archive.org/details/computerworld3527unse19/page/n17?q=internet+beginning,stretching the limits,computerworld
01/01/2004,2004_downloadmusic_newyorktimes.png,https://archive.org/details/press00unse_3/page/n21,archiving everything,mercury news
01/03/2004,2004_emailisbroken_infoworld.png,https://archive.org/details/press00unse_3/page/n137,download music,newyorktimes
01/04/2004,2004_gohighTech_newsweek.png,https://archive.org/details/press00unse_3/page/n45,e-mail is broken,infoworld
01/05/2004,2004_google_newsweek.png,https://archive.org/details/press00unse_3/page/n89,go hight tech,newsweek
01/10/2004,2004_manyfaceofgoogle_newsweek.png,https://archive.org/details/press00unse_3/page/n75,google,newsweek
01/11/2004,2005_amansvision_sanfranciscochronicle.png,https://archive.org/details/press00unse_3/page/n87,many face of google,newsweek
01/03/2005,2005_internet_internet.png,https://archive.org/details/press00unse_7,a man vision,san francisco chronicle
01/06/2005,2006_parallelcomputers_printaction.png,https://archive.org/details/internetstraight00john,internet,internet
01/10/2006,2007_theinternetandemail.png,https://archive.org/details/press00unse_2,parallel computers,PrintAction
01/07/2007,2008_futurofinternet.png,https://archive.org/details/teachyourselfint00bobr,internet and email,the internet and e mail
01/02/2008,2009_101internetbusinesses.png,https://archive.org/details/futureofinternet00zitt/page/68,futur of the internet and how stop,futur of the internet and how stop 
01/06/2009,2009_winnersandlosers.png,https://archive.org/details/101internetbusin00swee_1,101 internet business,101 internet business 
01/12/2009,2010_biometricscan_takingactionagaininternetcrime.png,https://archive.org/details/winnersloserscre0000levi,winner and losers,winners&losers
01/01/2010,2010_chatting__takingactionagaininternetcrime.png,https://archive.org/details/takingactionagai0000leve/page/42,biometric scan,taking action again internet crime
01/02/2010,2010_internetcrime__takingactionagaininternetcrime.png,https://archive.org/details/takingactionagai0000leve/page/26,chatting,taking action again internet crime
01/06/2010,2010_internetprivacy__takingactionagaininternetcrime.jpg,https://archive.org/details/takingactionagai0000leve,internet crime,taking action again internet crime
01/10/2010,2010_littlebird_little bird internet security adventure.png,https://archive.org/details/family-safety_little-bird,little bird,little bird internet security adventure
01/11/2010,2010_whatiscrime_taking action again internet crime.png,https://archive.org/details/takingactionagai0000leve/page/4,what is crime ?,taking action again internet crime
01/03/2011,2011_theinternetisaplayground.png,https://archive.org/details/internetisplaygr00jere/page/n1,the internet is a playground,the internet is a playground
01/06/2012,2012_internetdating.png,https://archive.org/details/internetdating100000schr,internet dating,internet dating
01/12/2013,2013_thestoryofaninternetrevolt.png,https://archive.org/details/offtopic,the story of an internet revolt,the story of an internet revolt
01/05/2014,2014_artpostinternet.png,https://archive.org/details/art_post_internet,art post-internet,art post-internet
01/01/2018,2018_internetofeverything_hackspace.png,https://archive.org/details/HackSpace07,internet of every thing,hackspace
