"Country or Area","Year","Area","Type of housing unit","Availability of ICT","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Albania","2011","Total","Total","All households","Census - de jure - complete tabulation","Final figure, complete","2013","722262",""
"Albania","2011","Total","Total","Households having television set","Census - de jure - complete tabulation","Final figure, complete","2013","667708",""
"Albania","2011","Total","Total","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2013","205704",""
"Albania","2011","Total","Total","Households having mobile cellular telephone","Census - de jure - complete tabulation","Final figure, complete","2013","627082",""
"Albania","2011","Total","Total","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2013","145295",""
"Albania","2011","Total","Total","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2013","89174",""
"Albania","2011","Urban","Total","All households","Census - de jure - complete tabulation","Final figure, complete","2013","409309",""
"Albania","2011","Urban","Total","Households having television set","Census - de jure - complete tabulation","Final figure, complete","2013","379170",""
"Albania","2011","Urban","Total","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2013","180839",""
"Albania","2011","Urban","Total","Households having mobile cellular telephone","Census - de jure - complete tabulation","Final figure, complete","2013","351214",""
"Albania","2011","Urban","Total","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2013","119546",""
"Albania","2011","Urban","Total","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2013","78342",""
"Albania","2011","Rural","Total","All households","Census - de jure - complete tabulation","Final figure, complete","2013","312953",""
"Albania","2011","Rural","Total","Households having television set","Census - de jure - complete tabulation","Final figure, complete","2013","288538",""
"Albania","2011","Rural","Total","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2013","24865",""
"Albania","2011","Rural","Total","Households having mobile cellular telephone","Census - de jure - complete tabulation","Final figure, complete","2013","275868",""
"Albania","2011","Rural","Total","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2013","25749",""
"Albania","2011","Rural","Total","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2013","10832",""
"Algeria","2008","Total","Total","All households","Census - de jure - complete tabulation","Final figure, complete","2009","5815158",""
